"SortOrder1","Goal","Target","Indicator","Series Code","Series Description","SortOrder2","Country or Area","SIDS","LDC","LLDC","Frequency","Unit","Location","Age Group","Sex","Source Type","2000","FN","2001","FN","2002","FN","2003","FN","2004","FN","2005","FN","2006","FN","2007","FN","2008","FN","2009","FN","2010","FN","2011","FN","2012","FN","2013","FN"
"010501","1","1.5","1.5.1","VC_DSR_AFFCT","+                                                                          Number of persons affected by disaster per 100,000 people","01010100","Albania","False","False","False","Annual","Number (Units)","Total","Total","Total","Not available","504.00","E, 1","1,137.00","E, 1","1,592.00","E, 1","1,538.00","E, 1","1,310.00","E, 1","2,036.00","E, 1","986.00","E, 1","394.00","E, 1","239.00","E, 1","4,777.00","E, 1","3,078.00","E, 1","7,219.00","E, 1","1,549.00","E, 1","329.00","E, 1"
"010501","1","1.5","1.5.1","VC_DSR_AFFCT","+                                                                          Number of persons affected by disaster per 100,000 people","01020303","Argentina","False","False","False","Annual","Number (Units)","Total","Total","Total","Not available","131,049.00","E, 1","44,205.00","E, 1","58,650.00","E, 1","28,558.00","E, 1","8,467.00","E, 1","15,087.00","E, 1","41,337.00","E, 1","134,632.00","E, 1","26,705.00","E, 1","39,072.00","E, 1","","","","","","","",""
"010501","1","1.5","1.5.1","VC_DSR_AFFCT","+                                                                          Number of persons affected by disaster per 100,000 people","01020302","Antigua and Barbuda","True","False","False","Annual","Number (Units)","Total","Total","Total","Not available","","","","","","","","","","","","","","","","","8,548.00","E, 1","8.00","E, 1","2,217.00","E, 1","100.00","E, 1","35.00","E, 1","36.00","E, 1"
"010501","1","1.5","1.5.1","VC_DSR_AFFCT","+                                                                          Number of persons affected by disaster per 100,000 people","01020307","Belize","True","False","False","Annual","Number (Units)","Total","Total","Total","Not available","57,980.00","E, 1","7,000.00","E, 1","","","","","","","","","","","","","5,126.00","E, 1","","","5,230.00","E, 1","","","","","",""
"010501","1","1.5","1.5.1","VC_DSR_AFFCT","+                                                                          Number of persons affected by disaster per 100,000 people","01020308","Bolivia (Plurinational State of)","False","False","True","Annual","Number (Units)","Total","Total","Total","Not available","353.00","E, 1","1,217.00","E, 1","508.00","E, 1","1,292.00","E, 1","14,447.00","E, 1","3,654.00","E, 1","7,115.00","E, 1","12,606.00","E, 1","23,842.00","E, 1","6,697.00","E, 1","5,430.00","E, 1","13,675.00","E, 1","10,905.00","E, 1","2,864.00","E, 1"
"010501","1","1.5","1.5.1","VC_DSR_AFFCT","+                                                                          Number of persons affected by disaster per 100,000 people","01020603","Bhutan","False","False","True","Annual","Number (Units)","Total","Total","Total","Not available","","","","","","","","","","","","","","","","","","","26,325.00","E, 1","233.00","E, 1","42,290.00","E, 1","120.00","E, 1","3,916.00","E, 1"
"010501","1","1.5","1.5.1","VC_DSR_AFFCT","+                                                                          Number of persons affected by disaster per 100,000 people","01020313","Chile","False","False","False","Annual","Number (Units)","Total","Total","Total","Not available","37,030.00","E, 1","309,426.00","E, 1","86,227.00","E, 1","6,095.00","E, 1","38,505.00","E, 1","84,179.00","E, 1","19,150.00","E, 1","25,422.00","E, 1","358,667.00","E, 1","22,998.00","E, 1","7,158,185.00","E, 1","136,274.00","E, 1","205,959.00","E, 1","3,571.00","E, 1"
"010501","1","1.5","1.5.1","VC_DSR_AFFCT","+                                                                          Number of persons affected by disaster per 100,000 people","01020902","Cook Islands","True","False","False","Annual","Number (Units)","Total","Total","Total","Not available","","","872.00","E, 1","","","","","","","1,721.00","E, 1","","","","","","","","","7,843.00","E, 1","","","","","",""
"010501","1","1.5","1.5.1","VC_DSR_AFFCT","+                                                                          Number of persons affected by disaster per 100,000 people","01020314","Colombia","False","False","False","Annual","Number (Units)","Total","Total","Total","Not available","81,997.00","E, 1","42,298.00","E, 1","72,961.00","E, 1","80,550.00","E, 1","221,682.00","E, 1","260,802.00","E, 1","217,816.00","E, 1","171,872.00","E, 1","640,748.00","E, 1","302,952.00","E, 1","1,462,060.00","E, 1","1,315,592.00","E, 1","509,020.00","E, 1","306,539.00","E, 1"
"010501","1","1.5","1.5.1","VC_DSR_AFFCT","+                                                                          Number of persons affected by disaster per 100,000 people","01020211","Comoros","True","True","False","Annual","Number (Units)","Total","Total","Total","Not available","","","","","","","","","","","","","","","","","","","","","","","3,284.00","E, 1","2,581.00","E, 1","138.00","E, 1"
"010501","1","1.5","1.5.1","VC_DSR_AFFCT","+                                                                          Number of persons affected by disaster per 100,000 people","01020315","Costa Rica","False","False","False","Annual","Number (Units)","Total","Total","Total","Not available","8,782.00","E, 1","8,514.00","E, 1","18,902.00","E, 1","6,922.00","E, 1","9,519.00","E, 1","16,024.00","E, 1","5,819.00","E, 1","41,176.00","E, 1","13,198.00","E, 1","15,086.00","E, 1","47,527.00","E, 1","11,373.00","E, 1","19,220.00","E, 1","6,253.00","E, 1"
"010501","1","1.5","1.5.1","VC_DSR_AFFCT","+                                                                          Number of persons affected by disaster per 100,000 people","01020215","Djibouti","False","True","False","Annual","Number (Units)","Total","Total","Total","Not available","5.00","E, 1","","","6.00","E, 1","1.00","E, 1","453.00","E, 1","43.00","E, 1","23.00","E, 1","15.00","E, 1","4.00","E, 1","10.00","E, 1","12.00","E, 1","181.00","E, 1","","","",""
"010501","1","1.5","1.5.1","VC_DSR_AFFCT","+                                                                          Number of persons affected by disaster per 100,000 people","01020318","Dominica","True","False","False","Annual","Number (Units)","Total","Total","Total","Not available","","","","","","","","","","","","","","","3,258.00","E, 1","","","4.00","E, 1","37.00","E, 1","375.00","E, 1","26.00","E, 1","",""
"010501","1","1.5","1.5.1","VC_DSR_AFFCT","+                                                                          Number of persons affected by disaster per 100,000 people","01020320","Ecuador","False","False","False","Annual","Number (Units)","Total","Total","Total","Not available","12,709.00","E, 1","17,779.00","E, 1","59,698.00","E, 1","9,468.00","E, 1","6,441.00","E, 1","8,088.00","E, 1","17,787.00","E, 1","9,883.00","E, 1","67,640.00","E, 1","8,788.00","E, 1","4,912.00","E, 1","148,524.00","E, 1","92,598.00","E, 1","25,955.00","E, 1"
"010501","1","1.5","1.5.1","VC_DSR_AFFCT","+                                                                          Number of persons affected by disaster per 100,000 people","01014900","Spain","False","False","False","Annual","Number (Units)","Total","Total","Total","Not available","16,185.00","E, 1","11,205.00","E, 1","10,428.00","E, 1","19,012.00","E, 1","3,599.00","E, 1","104.00","E, 1","10,186.00","E, 1","14,985.00","E, 1","3,004.00","E, 1","7,824.00","E, 1","19,502.00","E, 1","","","","","",""
"010501","1","1.5","1.5.1","VC_DSR_AFFCT","+                                                                          Number of persons affected by disaster per 100,000 people","01020218","Ethiopia","False","True","True","Annual","Number (Units)","Total","Total","Total","Not available","74,972.00","E, 1","27,515.00","E, 1","5,087.00","E, 1","145,209.00","E, 1","26,862.00","E, 1","231,779.00","E, 1","263,651.00","E, 1","227,348.00","E, 1","14,125.00","E, 1","592.00","E, 1","214,660.00","E, 1","10,628.00","E, 1","62,455.00","E, 1","28,384.00","E, 1"
"010501","1","1.5","1.5.1","VC_DSR_AFFCT","+                                                                          Number of persons affected by disaster per 100,000 people","01020903","Fiji","True","False","False","Annual","Number (Units)","Total","Total","Total","Not available","436.00","E, 1","","","8.00","E, 1","35,088.00","E, 1","6,600.00","E, 1","","","284.00","E, 1","12.00","E, 1","1,204.00","E, 1","27,092.00","E, 1","18,488.00","E, 1","344.00","E, 1","60,824.00","E, 1","",""
"010501","1","1.5","1.5.1","VC_DSR_AFFCT","+                                                                          Number of persons affected by disaster per 100,000 people","01020908","Micronesia (Federated States of)","True","False","False","Annual","Number (Units)","Total","Total","Total","Not available","","","","","14,429.00","E, 1","800.00","E, 1","40,000.00","E, 1","","","","","","","","","","","","","","","","","",""
"010501","1","1.5","1.5.1","VC_DSR_AFFCT","+                                                                          Number of persons affected by disaster per 100,000 people","01020324","Grenada","True","False","False","Annual","Number (Units)","Total","Total","Total","Not available","","","","","64.00","E, 1","","","113,795.00","E, 1","31,858.00","E, 1","","","","","","","","","","","","","","","",""
"010501","1","1.5","1.5.1","VC_DSR_AFFCT","+                                                                          Number of persons affected by disaster per 100,000 people","01020326","Guatemala","False","False","False","Annual","Number (Units)","Total","Total","Total","Not available","16,107.00","E, 1","12,945.00","E, 1","5,776.00","E, 1","9,779.00","E, 1","14,087.00","E, 1","367,745.00","E, 1","11,439.00","E, 1","26,463.00","E, 1","63,291.00","E, 1","15,029.00","E, 1","470,330.00","E, 1","38,854.00","E, 1","171,806.00","E, 1","29,590.00","E, 1"
"010501","1","1.5","1.5.1","VC_DSR_AFFCT","+                                                                          Number of persons affected by disaster per 100,000 people","01020327","Guyana","True","False","False","Annual","Number (Units)","Total","Total","Total","Not available","7,296.00","E, 1","","","400.00","E, 1","132,004.00","E, 1","538.00","E, 1","284,931.00","E, 1","30,418.00","E, 1","211.00","E, 1","214.00","E, 1","325.00","E, 1","505.00","E, 1","927.00","E, 1","136.00","E, 1","",""
"010501","1","1.5","1.5.1","VC_DSR_AFFCT","+                                                                          Number of persons affected by disaster per 100,000 people","01020329","Honduras","False","False","False","Annual","Number (Units)","Total","Total","Total","Not available","6,083.00","E, 1","1,714.00","E, 1","5,112.00","E, 1","1,847.00","E, 1","1,181.00","E, 1","22,309.00","E, 1","6,908.00","E, 1","48,534.00","E, 1","283,342.00","E, 1","31,649.00","E, 1","138,956.00","E, 1","51,811.00","E, 1","7,269.00","E, 1","2,307.00","E, 1"
"010501","1","1.5","1.5.1","VC_DSR_AFFCT","+                                                                          Number of persons affected by disaster per 100,000 people","01020703","Indonesia","False","False","False","Annual","Number (Units)","Total","Total","Total","Not available","7,995.00","E, 1","64,414.00","E, 1","1,190,759.00","E, 1","783,876.00","E, 1","2,797,970.00","E, 1","858,385.00","E, 1","4,125,999.00","E, 1","2,419,619.00","E, 1","990,753.00","E, 1","2,712,725.00","E, 1","82,765.00","E, 1","21,667.00","E, 1","142,068.00","E, 1","508,954.00","E, 1"
"010501","1","1.5","1.5.1","VC_DSR_AFFCT","+                                                                          Number of persons affected by disaster per 100,000 people","01020605","Iran (Islamic Republic of)","False","False","False","Annual","Number (Units)","Total","Total","Total","Not available","13,128.00","E, 1","28,951.00","E, 1","306,446.00","E, 1","273,006.00","E, 1","40,294.00","E, 1","111,448.00","E, 1","331,124.00","E, 1","8,846.00","E, 1","10,731.00","E, 1","12,138.00","E, 1","34,084.00","E, 1","33,567.00","E, 1","","","",""
"010501","1","1.5","1.5.1","VC_DSR_AFFCT","+                                                                          Number of persons affected by disaster per 100,000 people","01020330","Jamaica","True","False","False","Annual","Number (Units)","Total","Total","Total","Not available","4.00","E, 1","2,643.00","E, 1","6,430.00","E, 1","332.00","E, 1","422,156.00","E, 1","36,901.00","E, 1","322.00","E, 1","170,761.00","E, 1","39,339.00","E, 1","93.00","E, 1","10,378.00","E, 1","52.00","E, 1","44,681.00","E, 1","",""
"010501","1","1.5","1.5.1","VC_DSR_AFFCT","+                                                                          Number of persons affected by disaster per 100,000 people","01020803","Jordan","False","False","False","Annual","Number (Units)","Total","Total","Total","Not available","","","","","","","1,138.00","E, 1","1.00","E, 1","101.00","E, 1","560.00","E, 1","287.00","E, 1","219.00","E, 1","1,312.00","E, 1","145.00","E, 1","1,219.00","E, 1","","","",""
"010501","1","1.5","1.5.1","VC_DSR_AFFCT","+                                                                          Number of persons affected by disaster per 100,000 people","01020224","Kenya","False","False","False","Annual","Number (Units)","Total","Total","Total","Not available","","","","","","","","","","","","","","","","","248.00","E, 1","","","988.00","E, 1","17.00","E, 1","1,962.00","E, 1","",""
"010501","1","1.5","1.5.1","VC_DSR_AFFCT","+                                                                          Number of persons affected by disaster per 100,000 people","01020702","Cambodia","False","True","False","Annual","Number (Units)","Total","Total","Total","Not available","45,892.00","E, 1","16,457.00","E, 1","38,800.00","E, 1","7,308.00","E, 1","3,123.00","E, 1","10,067.00","E, 1","7,505.00","E, 1","8,833.00","E, 1","11,828.00","E, 1","52,908.00","E, 1","46,161.00","E, 1","161,011.00","E, 1","11,128.00","E, 1","28,016.00","E, 1"
"010501","1","1.5","1.5.1","VC_DSR_AFFCT","+                                                                          Number of persons affected by disaster per 100,000 people","01020339","Saint Kitts and Nevis","True","False","False","Annual","Number (Units)","Total","Total","Total","Not available","","","","","","","","","4.00","E, 1","4.00","E, 1","57.00","E, 1","4.00","E, 1","301.00","E, 1","","","55.00","E, 1","20.00","E, 1","13.00","E, 1","6.00","E, 1"
"010501","1","1.5","1.5.1","VC_DSR_AFFCT","+                                                                          Number of persons affected by disaster per 100,000 people","01020704","Lao People's Democratic Republic","False","True","True","Annual","Number (Units)","Total","Total","Total","Not available","7,080.00","E, 1","79.00","E, 1","220.00","E, 1","314.00","E, 1","713.00","E, 1","2,871.00","E, 1","1,408.00","E, 1","57,606.00","E, 1","36,958.00","E, 1","78,753.00","E, 1","27,554.00","E, 1","268,387.00","E, 1","2,413.00","E, 1","",""
"010501","1","1.5","1.5.1","VC_DSR_AFFCT","+                                                                          Number of persons affected by disaster per 100,000 people","01020805","Lebanon","False","False","False","Annual","Number (Units)","Total","Total","Total","Not available","154.00","E, 1","1,630.00","E, 1","1,486.00","E, 1","1,956.00","E, 1","451.00","E, 1","112.00","E, 1","1.00","E, 1","57.00","E, 1","440.00","E, 1","67.00","E, 1","6.00","E, 1","","","81.00","E, 1","30,031.00","E, 1"
"010501","1","1.5","1.5.1","VC_DSR_AFFCT","+                                                                          Number of persons affected by disaster per 100,000 people","01020340","Saint Lucia","True","False","False","Annual","Number (Units)","Total","Total","Total","Not available","","","","","125.00","E, 1","","","127.00","E, 1","","","","","40.00","E, 1","40.00","E, 1","1.00","E, 1","772.00","E, 1","23.00","E, 1","","","2.00","E, 1"
